cust_id,equip_id,csa1,serial,model,manufacturer,product_type,date_installed,last_service_date,recommended_service,next_service_date,equipment_notes,warranty_policy,extended,warranty_length,warranty_type,expiration_date,warranty_notes,hide,created_at,updated_at
32,76,504O,0338822-9246,LLSO85A948B,Trane,Oil Furnace,07/14/1993,02/10/2017,12,02/10/2018,Serviced Oil Furnace 5-16-02,,1,10 Year,Parts & Labor,07/14/2003,,0,05/24/2017,05/24/2017
32,77,,H24214070,BEF140C100A0,Trane,Air Cleaner,07/14/1993,01/01/2003,12,01/01/2004,,,1,10 Year,Parts & Labor,07/14/2003,,0,05/24/2017,05/24/2017
33,78,,G26210725,TTR025C100A0,Trane,Air Conditioner,07/23/1992,05/16/2005,12,05/16/2006,,,1,10 Year,Parts & Labor,07/21/2002,,0,05/24/2017,05/24/2017
34,79,,HO7226826,TTX024C1100A0,Trane,Air Conditioner,09/28/1993,07/19/2016,12,07/19/2017,,1079952,1,10 Year,Parts & Labor,09/26/2003,,0,05/24/2017,05/24/2017
34,80,,H35500991,TUD080R936A1,Trane,Gas Furnace,09/28/1993,09/01/2003,12,09/01/2004,,1079952,1,10 Year,Parts & Labor,09/28/2003,,0,05/24/2017,05/24/2017
35,81,130F,L115YNDFF,TTX036C100A1,Trane,Gas Furnace,05/23/1996,01/23/2017,12,01/23/2018,,1306612,1,10 Year,Parts & Labor,05/21/2006,,0,05/24/2017,05/24/2017
35,82,130A,L175MJD22G,TUD100R948H2,Trane,Air Conditioner,05/23/1996,06/15/2016,12,06/15/2017,,1306612,1,10 Year,Parts & Labor,05/23/2006,,0,05/24/2017,05/24/2017
35,83,,L15755999,TXC037C4HPB1,Trane,Coil,05/23/1996,07/18/2007,12,07/18/2008,,1306612,1,10 Year,Parts & Labor,05/23/2006,,0,05/24/2017,05/24/2017
36,84,314F,K19524268,TUY080R9V3A0,Trane,Furnace,06/24/1995,01/24/2017,12,01/24/2018,,1193862,1,10 Year,Parts & Labor,06/21/2005,,0,05/24/2017,05/24/2017
36,85,314A,K14269984,TTXO3OC100A3,Trane,Air Conditioner,06/24/1995,08/03/2016,12,08/03/2017,,1193862,1,10 Year,Parts & Labor,06/24/2005,,0,05/24/2017,05/24/2017
36,86,,J30743277,TXC031C4HPB1,Trane,Coil,06/24/1995,01/01/2003,12,01/01/2004,,1193862,1,10 Year,Parts & Labor,06/24/2005,,0,05/24/2017,05/24/2017
36,87,,J36787866,BEF140C100A0,Trane,Air Cleaner,06/24/1995,06/01/2010,12,06/01/2011,,,1,10 Year,Parts & Labor,06/24/2005,,0,05/24/2017,05/24/2017
37,88,,P4O5M7R7G,TUXO8OC942C1,Trane,Furnace,10/20/1999,09/01/2003,12,09/01/2004,,1757496,1,10 Year,Parts & Labor,10/17/2009,,0,05/24/2017,05/24/2017
37,89,,P133RT25G,TXA025C4HPC0,Trane,Coil,10/20/1999,09/01/2003,12,09/01/2004,,1757496,1,10 Year,Parts & Labor,10/20/2009,,0,05/24/2017,05/24/2017
37,90,,P2923Y82F,TTX024C100A2,Trane,Air Conditioner,10/20/1999,09/01/2003,12,09/01/2004,,1757496,1,10 Year,Parts & Labor,10/20/2009,,0,05/24/2017,05/24/2017
37,91,,0,T87F2873,Trane,Thermostat,10/20/1999,01/01/2003,12,01/01/2004,,1757496,1,10 Year,Parts & Labor,10/20/2009,,0,05/24/2017,05/24/2017
36,92,,0,110,AprilAire,Humidifier,06/24/1995,01/01/2003,12,01/01/2004,,,1,10 Year,Parts & Labor,06/24/1995,,0,05/24/2017,05/24/2017
33,93,,R393TPS1G,TUD080R9V3J1,Trane,Gas Furnace,11/21/2000,05/16/2005,12,05/16/2006,,1912493,1,10 Year,Parts & Labor,11/19/2010,,0,05/24/2017,05/24/2017
