cust_id,csa,equip_id,start_date,end_date,term,equip_desc,total_perks,created_at,updated_at
2481,115A,10784,12/02/2015,12/02/2016,1,A/C,,05/22/2017,05/22/217
2481,115F,10783,12/02/2015,12/02/2016,1,FURNACE,,05/22/2017,05/22/217
2519,193O,5317,10/30/2015,10/30/2016,1,OIL BOILER,,05/22/2017,05/22/217
2520,133G,5318,09/25/2015,09/25/2016,1,GAS BOILER,,05/22/2017,05/22/217
2548,137A,6145,09/28/2015,09/28/2016,1,A/C,,05/22/2017,05/22/217
2548,137F,6144,09/28/2015,09/28/2016,1,FURNACE,,05/22/2017,05/22/217
2598,470A,5482,11/11/2016,11/11/2017,1,A/C,,05/22/2017,05/22/217
2598,470F,6668,11/11/2016,11/11/2017,1,FURNACE,,05/22/2017,05/22/217
2631,534A,5548,12/12/2016,12/12/2017,1,A/C,,05/22/2017,05/22/217
2631,534F,5549,12/12/2016,12/12/2017,1,FURNACE,,05/22/2017,05/22/217
2635,181A,12117,10/22/2015,10/22/2016,1,A/C,,05/22/2017,05/22/217
2635,181F,12116,10/22/2015,10/22/2016,1,FURNACE,,05/22/2017,05/22/217
2706,186F,5698,09/29/2015,09/29/2016,1,FURNACE,,05/22/2017,05/22/217
2712,376A,11747,,,,A/C,,05/22/2017,05/22/217
2712,376F,11745,,,,FURNACE,,05/22/2017,05/22/217
2739,426,,,,,,,05/22/2017,05/22/217
2741,610A,6228,,,,,,05/22/2017,05/22/217
2741,610F,5785,,,,,,05/22/2017,05/22/217
2792,380A,11376,,,,,,05/22/2017,05/22/217
2792,380F,7461,,,,,,05/22/2017,05/22/217
2794,479A,15176,10/21/2016,10/21/2017,1,A/C,,05/22/2017,05/22/217
2794,479F,5872,10/21/2016,10/21/2017,1,FURNACE,,05/22/2017,05/22/217
2803,553A,7386,10/27/2016,10/27/2017,1,A/C,,05/22/2017,05/22/217
2803,553F,7385,10/27/2016,10/27/2017,1,FURNACE,,05/22/2017,05/22/217
2811,241A,5913,11/17/2015,11/17/2016,1,A/C,,05/22/2017,05/22/217
2811,241F,5912,11/17/2015,11/17/2016,1,FURNACE,,05/22/2017,05/22/217
2821,458F,7650,11/04/2016,11/04/2017,1,FURNACE,,05/22/2017,05/22/217
2852,586A,9100,,,,A/C,,05/22/2017,05/22/217
2852,586F,9099,,,,FURNACE,,05/22/2017,05/22/217
2891,132A,6073,09/21/2015,09/21/2016,1,A/C,,05/22/2017,05/22/217
2891,132F,6071,09/21/2015,09/21/2016,1,FURNACE,,05/22/2017,05/22/217
2915,452,,,,,,,05/22/2017,05/22/217
2948,152A,6216,09/08/2015,09/08/2016,1,A/C,,05/22/2017,05/22/217
2948,152F,6215,09/08/2015,09/08/2016,1,FURNACE,,05/22/2017,05/22/217
2969,631,,,,,,,05/22/2017,05/22/217
2970,217A,6280,12/31/2015,12/31/2016,1,A/C,,05/22/2017,05/22/217
2970,217F,6564,12/31/2015,12/31/2016,1,FURNACE,,05/22/2017,05/22/217
2974,110A,6291,11/06/2015,11/06/2016,1,A/C,,05/22/2017,05/22/217
2974,110F,9150,11/06/2015,11/06/2016,1,FURNACE,,05/22/2017,05/22/217
2976,401A,7414,,,,,,05/22/2017,05/22/217
2976,401F,6293,,,,,,05/22/2017,05/22/217
2978,387A,6307,10/06/2016,10/06/2017,1,A/C,,05/22/2017,05/22/217
2978,387F,7601,10/06/2016,10/06/2017,1,FURNACE,,05/22/2017,05/22/217
3015,343A,6416,02/16/2016,02/16/2017,1,A/C,,05/22/2017,05/22/217
3015,343F,6417,02/16/2016,02/16/2017,1,FURNACE,,05/22/2017,05/22/217
3033,118A,14324,12/02/2015,12/02/2016,1,A/C,,05/22/2017,05/22/217
3033,118F,6532,12/02/2015,12/02/2016,1,FURNACE,,05/22/2017,05/22/217
3049,318O,6503,02/02/2016,02/02/2017,1,OIL FURNACE,,05/22/2017,05/22/217
3088,545,,,,,,,05/22/2017,05/22/217
3131,296AH,6695,08/31/2015,08/31/2016,1,AIR HANDLER,,05/22/2017,05/22/217
3131,296H,,08/31/2015,08/31/2016,1,HEAT PUMP,,05/22/2017,05/22/217
3149,121A,,11/23/2015,11/23/2016,1,A/C,,05/22/2017,05/22/217
3149,121F,6729,11/23/2015,11/23/2016,1,FURNACE,,05/22/2017,05/22/217
3160,434A,15139,09/27/2016,09/27/2017,,A/C,,05/22/2017,05/22/217
3160,434F,8686,09/27/2016,09/27/2017,1,FURNACE,,05/22/2017,05/22/217
3171,574A,7111,11/04/2016,11/04/2017,1,A/C,,05/22/2017,05/22/217
3171,574F,6784,11/04/2016,11/04/2017,1,FURNACE,,05/22/2017,05/22/217
3251,106A,6940,02/25/2016,02/25/2017,1,A/C,,05/22/2017,05/22/217
3251,106F,6398,02/25/2016,02/25/2017,1,FURNACE,,05/22/2017,05/22/217
3254,415,,,,,,,05/22/2017,05/22/217
3313,525A,7088,12/07/2015,12/06/2016,1,A/C,,05/22/2017,05/22/217
