equip_id,cust_id,warranty_notes,created_at,updated_at
11248,4931,7 year compressor 5 year parts,05/27/17,05/27/17
11249,4931,7 year compressor 5 year parts,05/27/17,05/27/17
11270,3657,Lifetime Compressor Warranty,05/27/17,05/27/17
11272,4940,Lifetime Compressor,05/27/17,05/27/17
11298,4956,10 yr. compressor,05/27/17,05/27/17
11339,4976,Lifetime Heat Exchanger,05/27/17,05/27/17
11341,4976,10 year compressor,05/27/17,05/27/17
11343,865,lifetime compressor,05/27/17,05/27/17
11376,2792,10 yr compressor,05/27/17,05/27/17
11380,4714,10 year compressor,05/27/17,05/27/17
11433,5004,10 Year Compressor Warranty,05/27/17,05/27/17
11470,5021,10 year compressor warranty,05/27/17,05/27/17
11476,3606,Lifetime Heat Exchanger,05/27/17,05/27/17
11501,3945,Lifetime Heat Exchanger,05/27/17,05/27/17
11507,5041,Lifetime Heat Exchanger Warr.,05/27/17,05/27/17
11512,2952,Lifetime Heat Exchanger,05/27/17,05/27/17
11514,2952,10 Year Compressor,05/27/17,05/27/17
11515,5044,Lifetime Heat Exchanger,05/27/17,05/27/17
11516,492,Lifetime Heat Exchanger,05/27/17,05/27/17
11523,1133,Lifetime Heat Exchanger,05/27/17,05/27/17
11553,5062,Lifetime Heat Exchanger,05/27/17,05/27/17
11722,4889,10 year heat exchanger,05/27/17,05/27/17
11969,5247,Lifetime Heat Exchanger Warranty,05/27/17,05/27/17
11971,5247,Lifetime compressor warranty,05/27/17,05/27/17
11974,1553,10 Year compressor warranty,05/27/17,05/27/17
11976,5248,Lifetime heat exchanger warranty,05/27/17,05/27/17
11978,5248,Lifetime compressor warranty,05/27/17,05/27/17
11984,4888,10 year compressor warranty,05/27/17,05/27/17
11986,5249,Lifetime heat exchanger warranty,05/27/17,05/27/17
11987,5249,10 year compressor warranty,05/27/17,05/27/17
12004,4028,Lifetime heat exchanger warranty,05/27/17,05/27/17
12006,4028,10 year compressor warranty,05/27/17,05/27/17
12331,5329,7-yr compressor,05/27/17,05/27/17
14967,5625,7 year compress/ 5 year parts,05/27/17,05/27/17
14968,5625,7 year compressor/ 5 year parts,05/27/17,05/27/17
15302,4542,"1 YEAR FURNACE REPLACEMENT
LIMITED LIFE TIME WARRANTY ON HEAT EXCHANGER",05/27/17,05/27/17
15478,6432,10 Year Compressor,05/27/17,05/27/17
15712,6539,"20 year heat exchanger
2 year parts",05/27/17,05/27/17
15737,6477,Lifetime compressor,05/27/17,05/27/17
15741,5548,Lifetime unit replacement warranty.,05/27/17,05/27/17
16155,5109,20 year heat exchanger,05/27/17,05/27/17
16156,5109,20 year heat exchanger,05/27/17,05/27/17
